name,state,lon,lat,year,capacity,url,image_url,developer,source
Single-axis solar tracker system,"Dholera, Gujarat",72.1959892,22.2495856,2020-2022,300 MW,https://www.tatapower.com//what-we-do-nav/solar-energy/projects/indian-projects/single-axis-solar-tracker-system--dholera--gujarat,https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--bffbdec7-e2e9-45c7-9d82-dd7b2c74ad03/image3.png.webp?width=604&amp;preferwebp=true,TATA Power,tata
Bifacial solar system,"Chengmari, West Bengal",88.6752977,26.6736263,2024,"1,040 kW",https://www.tatapower.com//what-we-do-nav/solar-energy/projects/indian-projects/bifacial-solar-system--chengmari-tea-estate--west-bengal,https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--c8cd0b6f-ea74-4fc8-b8e2-b3f60b67441a/image4.png.webp?width=604&amp;preferwebp=true,TATA Power,tata
Cricket club of India – Solar rooftop installation,Mumbai,72.8692035,19.054999,2018,820.8 kWp,https://www.tatapower.com//what-we-do-nav/solar-energy/projects/indian-projects/solar-rooftop--cricket-club-of-india--mumbai,https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--6f6e4622-724f-404a-8e1a-138d7eff0b9f/image5.png.webp?width=604&amp;preferwebp=true,TATA Power,tata
RTC renewable energy power plant,India,78.6677428,22.3511148,2024,966 MW,https://www.tatapower.com//renewables/solar-energy/renewable-power-project-for-tata-steel,https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--e825f40a-95d1-4ddc-bd53-d6cd91a78dc8/image6.png.webp?width=604&amp;preferwebp=true,TATA Power,tata
Pavagada Solar Plant,Karnataka,75.7223521,14.5203896,2019,400 MW,https://www.tatapower.com//what-we-do-nav/solar-energy/projects/indian-projects/pavagada-solar-plant--pavagada--karnataka,https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--d48ac207-44e1-4497-ae58-95ca08368b99/image7.png.webp?width=604&amp;preferwebp=true,TATA Power,tata
Solar and battery energy storage project,Chhattisgarh,81.8406351,21.6637359,2024,100 MW,https://www.tatapower.com//what-we-do-nav/solar-energy/projects/rtc-energy-projects/solar-and-battery-energy-storage-project--rajnandgaon--chhattisg,https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--247f60e6-b119-4a08-aff5-3a7296906c45/image8.png.webp?width=302&amp;preferwebp=true,TATA Power,tata
Solar plant,Kerala,76.5120396,10.3528744,2022,101.6 MWp,https://www.tatapower.com//what-we-do-nav/solar-energy/projects/indian-projects/floating-solar-plant--kayamkulam--kerala,https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--be5837b6-1c96-4ba5-a228-e0f4dd260498/image9.png.webp?width=302&amp;preferwebp=true,TATA Power,tata
Solar power,Bikaner,73.3171367,28.0159286,2024,450 MW,https://www.tatapower.com//what-we-do-nav/solar-energy/projects/indian-projects/100--cea-compliant-solar-project--bikaner--rajasthan,https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--7add8b0f-6d44-4eea-b0cd-6da0dd1c207f/image10.png.webp?width=302&amp;preferwebp=true,TATA Power,tata
"17 MW  Tata Power, Mithapur, Gujarat","Mithapur, Gujarat",69.0089392,22.4117955,2012,17 MW,https://www.tatapower.com//renewables/solar-energy/17-mw-tata-power-mithapur-gujarat,https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--bab7693c-dba4-4d09-bb35-4c7501848143/17mw-solar.jpg.webp?width=1066&amp;preferwebp=true,TATA Power,tata
"Chandarva, Gujarat","Village Chandarva, Gujarat",71.745261,22.3850051,2944,30 MW,https://www.tatapower.com//renewables/solar-energy/30-MW---Ground-Mounted-Solar-Project-for-GSECL-at-Village-chandarva-gujarat,https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--2f947b9e-c9d0-43a3-9b02-0b28285f15a0/30mw-solar.jpg.webp?width=1066&amp;preferwebp=true,TATA Power,tata
"Kasaragod Solar Park, Kerala","Kasaragod Solar Park, Kerala",76.5120396,10.3528744,2024,50 MW,https://www.tatapower.com//renewables/solar-energy/50-mw-ac-solar-pv-plant-at-kasaragod-solar-park-kerala,https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--21dd92e3-15f3-4136-8f62-faa05f527e86/50-mw-kerala-banner.jpg.webp?width=1066&amp;preferwebp=true,TATA Power,tata
TP Renewable Microgrid Launches Mobile App for Rural Customers,India,78.6677428,22.3511148,2023,N/A,https://www.tatapower.com//energy-solutions/solar-energy/projects/indian-projects/tp-renewable-microgrid-launches-mobile-app-for-rural-customers,https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--cad4c799-ac14-44c2-a991-b3fcc3e40357/MicroGridArticleList2.jpg.webp?width=302&amp;preferwebp=true,TATA Power,tata
