s_no,tender_id,tender_id2,tender_ref,tender_title,tender_date,tender_details,tender_corrigendum,location,lat,lon
3,SECI000204,SECI-2025-TN000003,2025_SECI_791230_1,SECI/C&amp;P/IPP/11/0025/24-25,"Friday, 30-05-2025",RfS Setting up of Grid-Connected Floating Solar PV Projects with BESS in Lakshadweep under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323034,Lakshadweep,10.3337313,72.9205386
5,SECI000209,,2025_SECI_795583_1,SECI/C&amp;P/IPP/11/0001/25-26,"Tuesday, 20-05-2025",RfS for Setting up of 6.25 MW Grid-Connected Rooftop Solar PV Projects under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323039,India,29.375837060680443,94.24386072545843
11,SECI000203,SECI-2025-TN000002,,SECI/C&amp;P/IPP/11/0024/24-25,"Friday, 09-05-2025",RfS for 500 MW ISTS-Connected Solar PV Power Projects in India (SECI-ISTS-XIX),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323033,India,8.466895614117494,91.01562930011875
13,SECI000208,SECI-2025-TN000006,,SECI/C&amp;P/MI/00/0012/2025-26,"Friday, 09-05-2025","Interior cum Fit-out Work of Corporate Office Complex of Solar Energy Corporation of India Limited (SECI) at F-200 and F-300, Tower-F, World Trade Center New Delhi, Nauroji Nagar, New Delhi- 110 029",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323038,F,52.1001754,15.3605075
14,SECI000207,SECI-2025-TN000005,2025_SECI_793842_1,SECI/C&amp;P/IPP/14/0026/24-25,"Wednesday, 30-04-2025",Setting up of 4.55 MW Grid-Connected Rooftop Solar PV Projects under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323037,India,8.906664371561597,69.7583773401526
16,SECI000206,,,GEM/2025/B/6076106,"Monday, 31-03-2025","Hiring of Vehicles on Monthly basis at Solar Project of SECI in Ramagiri, Andhra Pradesh",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323036,Solar Project,40.6878383,-8.4807613
18,SECI000201,SECI-2025-TN000001,2025_SECI_786517_1,SECI/C&amp;P/IPP/14/0021/24-25,"Friday, 28-02-2025",Setting up of 1750 kW Grid-Connected Rooftop Solar PV Projects under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323031,India,35.70388102689777,76.76498631966065
21,SECI000200,,2025_SECI_785509,GEM/2025/B/5824252,"Thursday, 13-02-2025","Director’s and Officer’s Liability Insurance 2025-26 of Solar Energy Corporation of India Limited, New Delhi",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323030,India,16.991906934656708,92.68515081586214
23,SECI000194,SECI-2024-TN000051,2024_SECI_780012_1,SECI/C&amp;P/IPP/11/0023/24-25,"Friday, 07-02-2025",Setting up 4.125 MW Grid-Connected Solar PV Projects in IIT Kharagpur Campus under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313934,IIT Kharagpur Campus,22.5737218,88.4176526
25,SECI000195,SECI-2024-TN000052,2024_SECI_780038_1,SECI/C&amp;P/IPP/14/0012/24-25,"Thursday, 06-02-2025",Setting up of 2112 kW Grid-Connected Rooftop Solar PV Projects under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313935,India,26.15592687173045,88.83131253113075
