s_no,tender_id,tender_id2,tender_ref,tender_title,tender_date,tender_details,tender_corrigendum
1,SECI000137,SECI-2024-TN000004,,SECI/C&amp;P/IPP/12/0018/23-24,"Thursday, 31-07-2025",RfS for Allocation of Sea-bed Lease Rights for 4000 MW Offshore Wind Power Projects,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313337
2,SECI000188,SECI-2024-TN000045,,SECI/C&amp;P/IPP/12/0016/24-25,"Tuesday, 17-06-2025",RfS for Setting up of 500 MW ISTS-connected Offshore Wind Power Project in India (Tranche-I),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313838
3,SECI000204,SECI-2025-TN000003,2025_SECI_791230_1,SECI/C&amp;P/IPP/11/0025/24-25,"Friday, 30-05-2025",RfS Setting up of Grid-Connected Floating Solar PV Projects with BESS in Lakshadweep under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323034
4,SECI000180,SECI-2024-TN000039,2024_SECI_768634_1,SECI/C&amp;P/EOI/17/0002/24-25,"Friday, 30-05-2025",CfP for Setting up of Green Hydrogen Hubs in India under National Green Hydrogen Mission,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313830
5,SECI000209,,2025_SECI_795583_1,SECI/C&amp;P/IPP/11/0001/25-26,"Tuesday, 20-05-2025",RfS for Setting up of 6.25 MW Grid-Connected Rooftop Solar PV Projects under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323039
6,SECI000214,SECI-2025-TN000009,2025_SECI_796716_1,SECI/C&amp;P/OP/11/017/2024-25,"Thursday, 22-05-2025","200 MW BoS Tender at Dhar, MP",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323134
7,SECI000213,,2025_SECI_796637_1,GEM/2025/B/6185614,"Wednesday, 21-05-2025",Annual Maintenance Contract (AMC) of the HIAM Portal for 2 years,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323133
8,SECI000157,SECI-2024-TN000024,,SECI/C&amp;P/MI/00/0002/2024-25,"Friday, 16-05-2025",RfS for Production and Supply of Green Ammonia in India under SIGHT Scheme (Mode-2A-Tranche-I),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313537
9,SECI000212,SECI-2025-TN000008,2025_SECI_796445_1,SECI/C&amp;P/OP/11/018/2024-25,"Tuesday, 20-05-2025",260 MWp Module Procurement Tender,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323132
10,SECI000211,,2025_SECI_796060_1,GEM/2025/B/6168367,"Friday, 16-05-2025","Implementation and Configuration of Microsoft 365 Business Premium at SECI, New Delhi",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323131
